order_id,delivery_time
1,00:21:00
2,00:40:00
3,00:24:00
4,00:36:00
5,00:56:00
6,00:52:00
7,00:50:00
8,01:03:00
9,00:51:00
10,00:59:00
11,01:00:00
12,01:07:00
13,00:28:00
14,01:02:00
15,00:20:00
16,00:26:00
17,01:01:00
18,00:29:00
19,00:41:00
20,00:59:00
21,00:57:00
22,01:06:00
23,00:25:00
24,00:45:00
25,00:22:00
26,00:54:00
27,00:32:00
28,00:35:00
29,00:52:00
30,00:34:00
31,00:48:00
32,00:41:00
33,01:01:00
34,00:26:00
35,00:35:00
36,00:20:00
37,01:09:00
38,00:23:00
39,01:02:00
40,01:02:00
41,01:05:00
42,00:49:00
43,00:38:00
44,01:04:00
45,00:57:00
46,01:08:00
47,01:04:00
48,00:30:00
49,00:43:00
50,01:07:00
51,00:36:00
52,01:06:00
53,00:27:00
54,00:43:00
55,00:52:00
56,00:23:00
57,00:22:00
58,00:33:00
59,00:41:00
60,00:42:00
61,00:48:00
62,00:36:00
63,00:36:00
64,00:38:00
65,01:04:00
66,00:21:00
67,00:31:00
68,00:36:00
69,00:39:00
70,00:33:00
71,00:24:00
72,00:22:00
73,01:03:00
74,00:45:00
75,01:05:00
76,00:59:00
77,01:01:00
78,00:22:00
79,01:09:00
80,00:45:00
81,00:56:00
82,00:43:00
83,00:50:00
84,00:30:00
85,00:59:00
86,00:25:00
87,00:47:00
88,01:07:00
89,00:40:00
90,00:30:00
91,01:04:00
92,01:09:00
93,00:56:00
94,00:28:00
95,01:04:00
96,01:01:00
97,00:21:00
98,00:51:00
99,00:20:00
100,00:53:00
101,00:44:00
102,00:28:00
103,00:55:00
104,00:47:00
105,00:30:00
106,00:40:00
107,00:47:00
108,00:47:00
109,00:51:00
110,00:25:00
111,00:56:00
112,00:43:00
113,00:35:00
114,00:41:00
115,00:29:00
116,01:09:00
117,00:50:00
118,00:42:00
119,00:55:00
120,00:21:00
121,00:29:00
122,00:31:00
123,01:09:00
124,00:28:00
125,00:26:00
126,00:21:00
127,00:20:00
128,00:26:00
129,00:21:00
130,01:01:00
131,01:00:00
132,00:50:00
133,00:53:00
134,00:52:00
135,01:04:00
136,00:36:00
137,00:54:00
138,00:21:00
139,00:37:00
140,01:02:00
141,00:21:00
142,00:52:00
143,00:48:00
144,00:44:00
145,00:29:00
146,00:33:00
147,00:53:00
148,00:53:00
149,01:09:00
150,00:52:00
151,00:55:00
152,00:44:00
153,00:33:00
154,01:03:00
155,00:49:00
156,01:03:00
157,00:23:00
158,00:56:00
159,00:38:00
160,00:41:00
161,00:26:00
162,00:27:00
163,00:52:00
164,01:06:00
165,00:54:00
166,01:02:00
167,01:04:00
168,01:01:00
169,00:28:00
170,00:40:00
171,01:02:00
172,00:58:00
173,00:42:00
174,00:23:00
175,00:28:00
176,00:36:00
177,00:57:00
178,00:42:00
179,01:07:00
180,01:05:00
181,01:08:00
182,00:48:00
183,00:52:00
184,00:42:00
185,00:40:00
186,00:22:00
187,00:46:00
188,00:26:00
189,00:30:00
190,01:00:00
191,00:36:00
192,01:05:00
193,00:24:00
194,00:40:00
195,00:43:00
196,00:24:00
197,00:48:00
198,01:06:00
199,01:08:00
200,00:50:00
201,00:28:00
202,01:05:00
203,00:30:00
204,00:49:00
205,00:40:00
206,00:30:00
207,00:26:00
208,00:53:00
209,00:54:00
210,00:45:00
211,01:09:00
212,00:55:00
213,00:31:00
214,00:56:00
215,01:07:00
216,00:52:00
217,00:24:00
218,00:51:00
219,00:57:00
220,01:03:00
221,00:27:00
222,00:22:00
223,01:08:00
224,00:39:00
225,00:34:00
226,00:59:00
227,00:49:00
228,01:06:00
229,00:46:00
230,00:26:00
231,00:41:00
232,00:43:00
233,00:30:00
234,00:45:00
235,00:55:00
236,00:39:00
237,00:25:00
238,00:33:00
239,00:22:00
240,00:20:00
241,01:06:00
242,00:40:00
243,00:50:00
244,00:21:00
245,00:20:00
246,01:00:00
247,00:48:00
248,01:09:00
249,00:58:00
250,00:59:00
251,00:33:00
252,00:22:00
253,00:49:00
254,01:03:00
255,00:27:00
256,01:07:00
257,00:39:00
258,00:35:00
259,00:49:00
260,00:53:00
261,01:02:00
262,00:22:00
263,00:41:00
264,00:51:00
265,00:30:00
266,00:24:00
267,00:23:00
268,00:42:00
269,00:25:00
270,01:00:00
271,01:06:00
272,01:01:00
273,00:55:00
274,00:22:00
275,00:57:00
276,00:56:00
277,00:49:00
278,00:56:00
279,00:48:00
280,00:41:00
281,00:29:00
282,01:04:00
283,00:50:00
284,00:40:00
285,00:21:00
286,01:02:00
287,01:00:00
288,00:39:00
289,00:37:00
290,00:56:00
291,00:46:00
292,01:05:00
293,01:03:00
294,00:38:00
295,00:46:00
296,00:41:00
297,01:08:00
298,00:37:00
299,00:51:00
300,01:08:00
301,00:43:00
302,00:42:00
303,00:34:00
304,00:37:00
305,00:49:00
306,00:45:00
307,00:28:00
308,00:47:00
309,00:23:00
310,01:01:00
311,00:56:00
312,00:50:00
313,01:02:00
314,00:36:00
315,00:36:00
316,00:26:00
317,00:34:00
318,01:06:00
319,00:24:00
320,00:44:00
321,00:57:00
322,00:49:00
323,00:26:00
324,01:04:00
325,00:52:00
326,00:40:00
327,01:02:00
328,00:42:00
329,00:59:00
330,00:24:00
331,00:58:00
332,00:54:00
333,00:26:00
334,01:07:00
335,00:38:00
336,00:45:00
337,00:55:00
338,00:23:00
339,00:50:00
340,00:42:00
341,01:09:00
342,01:07:00
343,01:09:00
344,01:08:00
345,00:48:00
346,00:32:00
347,00:35:00
348,00:51:00
349,01:09:00
350,00:36:00
351,00:41:00
352,00:40:00
353,00:31:00
354,01:09:00
355,00:39:00
